,TF,Target,Mode of Regulation,References
6121,RELA,GATA3,Activation,20660789
6132,RELA,HDAC1,Unknown,23027620
6135,RELA,HIF1A,Unknown,18498249
6179,RELA,JUNB,Activation,17018379
6210,RELA,MYC,Activation,17018379
6211,RELA,MYC,Repression,18566231
6212,RELA,MYC,Unknown,11114727;12894581;17673602;17944672;18184402;19469019;19766095;21790895
6215,RELA,NCOR1,Unknown,17876798
6217,RELA,NFKB1,Activation,20596645
6218,RELA,NFKB1,Unknown,19469019
6240,RELA,PGR,Repression,8626413
6280,RELA,SIRT1,Activation,20617556
6288,RELA,STAT1,Unknown,25040843
6289,RELA,STAT3,Unknown,25040843
6327,RELA,TP53,Unknown,10348347;11032029;15155458
6333,RELA,TRIB3,Repression,12736262
6345,RELA,WT1,Unknown,11243407
6349,RELA,YY1,Repression,16784892
6350,RELA,YY1,Unknown,17438126
6355,REST,AR,Unknown,24163104
6379,REST,STAT1,Repression,23598529
6397,RFX1,HDAC1,Unknown,16464847
6406,RFX1,MYC,Repression,10918054;12032779
6414,RFX5,HDAC2,Unknown,16464847
6463,RORA,E2F1,Unknown,24891616
6488,RUNX1,JUN,Activation,20959602
6489,RUNX1,KLF4,Unknown,19328795
6501,RUNX1,NFKB1,Unknown,19686049
6507,RUNX1,RELA,Unknown,19686049
6514,RUNX2,AR,Unknown,24648349
6516,RUNX2,ESR1,Unknown,17350616
6557,RUNX3,MYC,Repression,20442291
6559,RUNX3,RUNX1,Repression,19403666
6560,RUNX3,RUNX1,Unknown,15688019
6561,RUNX3,TCF4,Activation,24447505
6564,RUNX3,TRAF6,Activation,17956589
6567,RUVBL1,TP53,Repression,21617703
6577,RXRA,HNF1A,Unknown,11027556
6578,RXRA,HNF4A,Unknown,11027556
6606,SATB1,GATA3,Activation,20126258
6608,SATB1,HDAC1,Unknown,15713622
6654,SIN3A,E2F1,Repression,16254079
6673,SIRT1,FOXO3,Repression,17558024;21841822
6676,SIRT1,HIC1,Unknown,22510409
6677,SIRT1,HIF1A,Activation,22245592
6687,SIRT1,MYC,Repression,22245592;22483777
6694,SIRT1,PPARG,Repression,15850715
6701,SIRT1,TP53,Activation,23661372
6702,SIRT1,TP53,Repression,15130752;15632193
6709,SIRT3,FOXO3,Unknown,23665396
6738,SMAD3,FOXA2,Unknown,21625455
6743,SMAD3,JUN,Unknown,10022869
6747,SMAD3,MYC,Unknown,17132729
6758,SMAD3,VDR,Activation,17471513
6760,SMAD3,ZFP36,Unknown,12754205
6776,SMAD4,JUN,Unknown,10022869
6777,SMAD4,MYC,Unknown,17132729
6786,SMAD4,ZFP36,Unknown,12754205
6793,SMAD7,MYC,Activation,15555279
6810,SMURF2,KLF5,Repression,21953463
6821,SNAI1,VDR,Repression,15322538;16804902;20138990
6836,SNAI2,VDR,Repression,18485278;20138990
6839,SNIP1,MYC,Unknown,17157259
6842,SNW1,VDR,Unknown,15225769
6863,SOX17,HNF4A,Activation,22068426
6897,SOX4,NKX3-1,Unknown,20019190
